text,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен
Оперативно) спасибо,1,0,0,0,0
Супер,0,0,0,1,0
Спасибо.,0,0,0,1,0
"Молодцы, оперативно. ",1,0,0,1,0
Вопрос решился быстро. Спасибо!,1,0,0,1,0
Спасибо 😉 ,0,0,0,1,0
Александру спасибо за объяснение причины бульканья ! ,0,0,1,0,0
спасибо! всё быстро!,1,0,0,1,0
Спасибо,0,0,0,1,0
Спасибо! Исправили мою ошибку,0,0,0,1,0
мастер сделал все очень быстро и аккуратно,0,0,1,0,0
спасибо!,0,0,0,1,0
спасибо за оперативность,1,0,0,0,0
Спасибо!,0,0,0,1,0
Очень вежливый и профессиональный мастер. Устранил все недочеты оперативно и качественно. Просто отлично. Спасибо ,1,0,1,1,0
"Иван, огромное спасибо вам ! ",0,0,1,0,0
Среагировали за 20 минут!!!!,1,0,0,0,0
"Спасибо специалисту Роману, который помог мне наконец-то решить мой вопрос! Очень грамотный и вежливый специалист) ",0,0,1,0,1
спасибо! в тот же день электрик решил проблему.,0,0,1,0,0
"Лифт и полы помыли , большое спасибо за уборку ! Ждём установку зеркал в лифтах",0,1,1,0,0
спасибо!,0,0,0,1,0
да все верно. спасибо,0,0,0,1,1
спасибо всё бистро устранили ,1,0,0,0,0
"Спасибо, вроде бы стало лучше. ",0,1,0,0,0
Спасибо большое за Вашу быструю и профессиональную помощь. ,1,1,0,0,0
"Все быстро, не смотря на поздний час.",1,0,0,0,0
Спасибо ,0,0,0,1,0
спасибо ,0,0,0,1,0
спасибо,0,0,0,1,0
ответ был предоставлен оперативно и в полном объеме,1,0,0,0,0
"Спасибо огромное,  напор стал отличным!",0,1,0,0,0
спасибо,0,0,0,1,0
Спасибо) там правда все убрали и стало прям чисто) если можете еще отмыть пятна чего-то… буду очень вам признателен) возможно там нужна не только тряпка),0,1,0,0,0
сделали,0,0,0,0,1
Спасибо мастеру Сергею за четкую работу! ,0,0,1,0,0
"Наконец - то. Очень надеюсь, что через 2 дня он не встанет снова",0,0,0,1,0
"Благодарим, очень оперативно!",1,0,0,0,0
"Быстро, мастеру большое спасибо",1,0,1,0,0
"Вопрос решен быстро, спасибо мастеру. Фото выполненной работы приложил и даже позвонил!",1,0,1,0,0
главное что проблема решена! спасибо!,0,0,0,1,0
Спасибо.. все сделали быстро .. очень вежливые сотрудники. ,1,0,1,0,0
"спасибо, что решили проблему оперативно ",1,0,0,0,0
"Оперативно, внимательно, вежливо. Спасибо. ",1,0,1,0,0
"Спасибо, всё оперативно сделали!",1,0,0,0,0
Была распечатана бумажная квитанция.Хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение Самолет+УК,0,0,1,0,0
"Заявка быстра принята в работу. Проблема решена. Спасибо! 
",0,0,0,1,1
Молодцы! Быстро! 😁,1,0,1,0,0
Спасибо,0,0,0,1,0
 Спасибо большое за оперативность👍👍👍,1,0,0,0,0
Благодарю!,0,0,0,1,0
"Спасибо большое,всех благ и процветание вашей компании ",0,0,1,0,0
спасибо электрику,0,0,1,0,0
Спасибо ,0,0,0,0,0
Спасибо ,0,0,0,1,0
всё грамотно по полочкам объяснил,0,0,1,0,0
благодарю за быстро и качественно оказанную услугу,1,0,0,0,0
Спасибо за оперативное решение вопроса! ,1,0,0,0,0
Спасибо ,0,0,0,0,1
Спасибо ,0,0,0,0,1
"Огромное спасибо, быстро и качественно ",1,1,0,0,0
спасибо,0,0,0,0,1
Спасибо большое за оперативность ,1,0,0,0,0
Спасибо большое! ,0,0,0,0,1
спасибо! ,0,0,0,0,1
спасибо за ремонт!,0,0,0,1,0
благодарю менеджера Татьяну ,0,0,1,0,0
благодарю менеджера ,0,0,1,0,0
сотрудники молодцы!,0,0,1,0,0
Большое спасибо ,0,0,0,1,0
Большое спасибо ,0,0,0,1,0
оперативно и качественно! браво!,1,1,0,0,0
Спасибо огромное! Оперативно и качественно решили проблему! ,1,1,0,0,0
сделали,0,0,0,0,1
Спасибо!,0,0,0,1,0
спасибо за оперативность,1,0,0,0,0
"Поднималась сегодня с утра, запаха нет совсем. Спасибо большое ",0,1,0,0,0
"Специалист проконсультировал, сориентировал по срокам.",0,0,1,0,0
"спасибо, быстро и качественно. ",1,1,0,0,0
Спасибо ,0,0,0,1,0
спасибо. ,0,0,0,0,1
Спасибо за оперативность 💫💫💫,1,0,0,0,0
Все отлично! Спасибо ,0,1,0,1,0
"Спасибо, большое!!!",0,0,0,1,0
Спасибо  большое ! ,0,0,0,1,0
Быстро и оперативно ,1,0,0,0,0
Спасибо ,0,0,0,1,0
все отлично,0,0,0,1,0
Оперативно. Пока работает ,1,0,0,0,0
"Лика, спасибо Вам за оперативный ответ и подробные разъяснения по работе с приложением! ",0,0,1,0,0
Спасибо большое ,0,0,0,1,0
Отличный сотрудник ,0,0,1,0,0
Спасибо Мастеру Олегу!,0,0,1,0,0
"Для точной оценки нужно пережить зиму и понять, лучше стало или нет",0,0,0,0,1
"Спасибо большое за оперативность!)👍 Уже оценили песочек - очень хороший, чистый))) Дети были очень рады что в песочнице достаточное количество песка!)) 🤗",1,1,0,1,0
Быстро.Качественно.,1,1,0,0,0
Спасибо большое всё решили быстро!,1,0,0,0,0
"оперативно, быстро .",1,0,0,0,0
Спасибо,0,0,0,1,0
"оказали не только услугу по приобретению ключа,но ещё установили приложение УК Самолёт!!!",0,0,0,0,1
Приходил мастер все отрегулировал большое спасибо ,0,0,1,0,0
Оперативно ,1,0,0,0,0
спасибо за консультацию,0,0,1,0,0
"Парни (установщики) отработали на 5+, а вот упаковка не очень , тк не полный комплект фурнитуры (отсутствовали в комплекте нижняя ответка, пришлось колхозить и отпиливать кусок от старой ответки, а также шурупы отсутствовали)",0,0,1,0,0
Спасибо! Всё хорошо ,0,0,0,1,0
Все ок,0,0,0,0,1
Сразу бы так,0,0,0,0,1
" Ответ получен. 
Спасибо, что результатом стало уточнение и меня поняли. 
",0,0,0,0,1
"Благодарю за обратную связь. 
За возможность добавить необходимый документ в ЛК приложения и тем самым решить вопрос, не посещая клиентский офис. 
При звонке было вежливое, доброжелательное отношение. ",0,0,1,0,0
"Прислали на следующий день.
",1,0,0,0,0
Очень быстро отреагировали. Работа качественная!,1,1,0,0,0
Ну устранено,0,0,0,0,1
спасибо за подсказки и внимательное отношение ,0,0,1,0,0
Сантехник связался сразу. Вопрос решен. ,1,0,1,0,0
Спасибо технику),0,0,1,0,0
Благодарю.  Всё отлично 👍. ,0,0,0,1,0
Спасибо!,0,0,0,1,0
спасибо ,0,0,0,1,0
Сантехник был ,0,0,1,0,0
подсказали куда обратиться для решения вопроса,0,0,1,0,0
Спасибо большое за информацию. Татьяна молодец!,0,0,1,0,0
"электрик пришёл в день обращения, снял показания, счеткик работает, сотрудник вежливый. благодарю. ",0,0,1,0,0
Все было сделано быстро и качественно.,0,1,0,0,0
Все было сделано быстро и качественно.,0,1,0,0,0
Все было сделано быстро и качественно.,0,1,0,0,0
Спасибо,0,0,0,0,1
"Напор стал гораздо сильнее, небо и земля. Быстро поняли причину слабого напора. Спасибо ",1,1,0,0,0
"Спасибо за вашу работу! Вычислить бы, кто вырвал предыдущий доводчик и наказать! А вам спасибо!",0,1,0,0,0
"да открыла спасибо
",0,0,0,0,0
"быстро позвонили, пришли все сделали,спасибо ",1,0,0,1,0
